linja,operaattori,suunnitellut,ajettu,luotettavuus
90A,Koiviston Auto,3,2,66.67
16,Nobina Finland,92,67,72.83
92N,Koiviston Auto,12,9,75.0
97N,Koiviston Auto,10,8,80.0
94N,Koiviston Auto,11,9,81.82
717N,Koiviston Auto,11,9,81.82
90N,Koiviston Auto,12,10,83.33
506,Pohjolan Liikenne,114,97,85.09
78,Nobina Finland,110,99,90.0
96N,Koiviston Auto,10,9,90.0
118,Nobina Finland,131,118,90.08
300,Nobina Finland,206,189,91.75
125,Nobina Finland,101,93,92.08
164,Nobina Finland,14,13,92.86
842,Pohjolan Liikenne,29,27,93.1
562,Koiviston Auto,111,106,95.5
561,Koiviston Auto,102,98,96.08
71,Nobina Finland,206,198,96.12
717,Koiviston Auto,106,102,96.23
553,Koiviston Auto,109,105,96.33
844,Pohjolan Liikenne,31,30,96.77
20,Nobina Finland,163,158,96.93
30,Nobina Finland,165,160,96.97
66,Pohjolan Liikenne,133,129,96.99
400,Koiviston Auto,278,270,97.12
611,Pohjolan Liikenne,124,121,97.58
711,Koiviston Auto,95,93,97.89
200,Nobina Finland,193,189,97.93
631,Koiviston Auto,100,98,98.0
171,Pohjolan Liikenne,55,54,98.18
521,Pohjolan Liikenne,57,56,98.25
65,Pohjolan Liikenne,138,136,98.55
731,Koiviston Auto,93,92,98.92
67,Pohjolan Liikenne,133,132,99.25
211E,Nobina Finland,140,139,99.29
59,Pohjolan Liikenne,182,181,99.45
52,Nobina Finland,194,193,99.48
976,Pohjolan Liikenne,67,67,100.0
975N,Pohjolan Liikenne,3,3,100.0
975,Pohjolan Liikenne,63,63,100.0
973,Pohjolan Liikenne,72,72,100.0
972,Pohjolan Liikenne,16,16,100.0
971,Korsisaari,22,22,100.0
97,Koiviston Auto,72,72,100.0
963B,Pohjolan Liikenne,4,4,100.0
963,Pohjolan Liikenne,30,30,100.0
962,Pohjolan Liikenne,9,9,100.0
961B,Nurmijärven Linja,8,8,100.0
961,Nurmijärven Linja,4,4,100.0
96,Koiviston Auto,137,137,100.0
95N,Koiviston Auto,8,8,100.0
95,Koiviston Auto,135,135,100.0
124,Nobina Finland,102,102,100.0
121A,Nobina Finland,35,35,100.0
121,Nobina Finland,30,30,100.0
119,V-S Bussipalvelut,6,6,100.0
118N,Nobina Finland,6,6,100.0
117,V-S Bussipalvelut,4,4,100.0
116,V-S Bussipalvelut,4,4,100.0
114N,Koiviston Auto,3,3,100.0
114,Koiviston Auto,128,128,100.0
113N,Koiviston Auto,4,4,100.0
113,Koiviston Auto,129,129,100.0
112N,Nobina Finland,11,11,100.0
111,Koiviston Auto,126,126,100.0
977,Pohjolan Liikenne,34,34,100.0
214A,Pohjolan Liikenne,8,8,100.0
214,Pohjolan Liikenne,62,62,100.0
213X,Nobina Finland,144,144,100.0
213,Nobina Finland,56,56,100.0
212,Nobina Finland,49,49,100.0
211U,Nobina Finland,18,18,100.0
21,Tammelundin Liikenne,205,205,100.0
207,V-S Bussipalvelut,13,13,100.0
203,Pohjolan Liikenne,47,47,100.0
202,Pohjolan Liikenne,71,71,100.0
201B,Pohjolan Liikenne,34,34,100.0
201,Nurmijärven Linja,14,14,100.0
184,Taksikuljetus Harri Vuolle,5,5,100.0
237V,Pohjolan Liikenne,12,12,100.0
237,Pohjolan Liikenne,13,13,100.0
236,Pohjolan Liikenne,37,37,100.0
235N,Pohjolan Liikenne,5,5,100.0
232,V-S Bussipalvelut,4,4,100.0
231N,Pohjolan Liikenne,10,10,100.0
23,Pohjolan Liikenne,144,144,100.0
22B,Tammelundin Liikenne,71,71,100.0
229,V-S Bussipalvelut,10,10,100.0
227N,Pohjolan Liikenne,6,6,100.0
227,Pohjolan Liikenne,71,71,100.0
224B,Pohjolan Liikenne,1,1,100.0
224,Pohjolan Liikenne,69,69,100.0
22,Tammelundin Liikenne,73,73,100.0
21N,Tammelundin Liikenne,10,10,100.0
215,Pohjolan Liikenne,63,63,100.0
249Y,Nobina Finland,64,64,100.0
248X,Nobina Finland,61,61,100.0
247B,Nobina Finland,2,2,100.0
247,Nobina Finland,29,29,100.0
246K,Nobina Finland,17,17,100.0
246,Nobina Finland,20,20,100.0
245A,Nobina Finland,56,56,100.0
244,Nobina Finland,27,27,100.0
243V,Nobina Finland,6,6,100.0
243,Nobina Finland,26,26,100.0
242,V-S Bussipalvelut,9,9,100.0
241V,V-S Bussipalvelut,10,10,100.0
241,V-S Bussipalvelut,12,12,100.0
24,Nobina Finland,74,74,100.0
239V,Pohjolan Liikenne,8,8,100.0
239,Pohjolan Liikenne,41,41,100.0
349BK,Nobina Finland,12,12,100.0
349B,Nobina Finland,7,7,100.0
345N,Nobina Finland,1,1,100.0
345,Nobina Finland,43,43,100.0
34,Nurmijärven Linja,18,18,100.0
335,Nobina Finland,67,67,100.0
33,Nurmijärven Linja,33,33,100.0
321,Nobina Finland,37,37,100.0
32,Nurmijärven Linja,8,8,100.0
313,Korsisaari,6,6,100.0
311,Koiviston Auto,74,74,100.0
31,Nurmijärven Linja,8,8,100.0
26,V-S Bussipalvelut,120,120,100.0
25,Nobina Finland,104,104,100.0
436N,Koiviston Auto,3,3,100.0
434,Tammelundin Liikenne,108,108,100.0
433,Tammelundin Liikenne,32,32,100.0
431N,Nobina Finland,5,5,100.0
431B,Koiviston Auto,14,14,100.0
431,Koiviston Auto,66,66,100.0
42,Nobina Finland,101,101,100.0
415N,Pohjolan Liikenne,5,5,100.0
413,Korsisaari,6,6,100.0
41,Nobina Finland,102,102,100.0
401X,Nobina Finland,195,195,100.0
40,Nobina Finland,286,286,100.0
37,Nobina Finland,178,178,100.0
36,Nurmijärven Linja,8,8,100.0
35,Nurmijärven Linja,10,10,100.0
522,Pohjolan Liikenne,69,69,100.0
521K,Pohjolan Liikenne,11,11,100.0
520,Pohjolan Liikenne,215,215,100.0
518,Koiviston Auto,10,10,100.0
510,Nobina Finland,187,187,100.0
502,Nobina Finland,96,96,100.0
500,Pohjolan Liikenne,185,185,100.0
447,Korsisaari,19,19,100.0
446,Korsisaari,19,19,100.0
445,Tammelundin Liikenne,37,37,100.0
444T,Korsisaari,7,7,100.0
444,Korsisaari,11,11,100.0
443,Tammelundin Liikenne,33,33,100.0
560,Koiviston Auto,221,221,100.0
56,Nobina Finland,192,192,100.0
554,Koiviston Auto,116,116,100.0
55,Pohjolan Liikenne,113,113,100.0
549,Nobina Finland,100,100,100.0
548,Nobina Finland,97,97,100.0
544,Nobina Finland,122,122,100.0
542,Pohjolan Liikenne,135,135,100.0
54,Koiviston Auto,106,106,100.0
533,Nobina Finland,103,103,100.0
531,Pohjolan Liikenne,137,137,100.0
530,Pohjolan Liikenne,207,207,100.0
53,Nobina Finland,50,50,100.0
522B,Pohjolan Liikenne,8,8,100.0
587,Koiviston Auto,53,53,100.0
584,Tammelundin Liikenne,56,56,100.0
583K,Tammelundin Liikenne,20,20,100.0
583,Tammelundin Liikenne,35,35,100.0
582V,Nobina Finland,12,12,100.0
582,Nobina Finland,53,53,100.0
576,Tammelundin Liikenne,38,38,100.0
574,Pohjolan Liikenne,73,73,100.0
572,Nobina Finland,54,54,100.0
571,Pohjolan Liikenne,76,76,100.0
570N,Koiviston Auto,16,16,100.0
570,Koiviston Auto,212,212,100.0
57,Nobina Finland,199,199,100.0
566,Nobina Finland,54,54,100.0
64,Pohjolan Liikenne,107,107,100.0
633N,Pohjolan Liikenne,2,2,100.0
633,Koiviston Auto,42,42,100.0
63,Koiviston Auto,132,132,100.0
625,Korsisaari,37,37,100.0
624N,Koiviston Auto,4,4,100.0
624,Koiviston Auto,99,99,100.0
623,Koiviston Auto,50,50,100.0
61N,Pohjolan Liikenne,9,9,100.0
619,Koiviston Auto,94,94,100.0
617,Koiviston Auto,16,16,100.0
614,Koiviston Auto,17,17,100.0
61,Pohjolan Liikenne,116,116,100.0
600,Koiviston Auto,220,220,100.0
183,Taksikuljetus Harri Vuolle,5,5,100.0
182Y,Pohjolan Liikenne,21,21,100.0
182K,Pohjolan Liikenne,3,3,100.0
182,Pohjolan Liikenne,2,2,100.0
175V,Pohjolan Liikenne,2,2,100.0
175K,Pohjolan Liikenne,2,2,100.0
175,Pohjolan Liikenne,2,2,100.0
173Z,Pohjolan Liikenne,42,42,100.0
173N,Pohjolan Liikenne,4,4,100.0
173,Pohjolan Liikenne,15,15,100.0
171Z,Pohjolan Liikenne,3,3,100.0
169,V-S Bussipalvelut,6,6,100.0
168,V-S Bussipalvelut,5,5,100.0
167,V-S Bussipalvelut,51,51,100.0
166K,V-S Bussipalvelut,4,4,100.0
702,V-S Bussipalvelut,7,7,100.0
701,V-S Bussipalvelut,6,6,100.0
70,Koiviston Auto,105,105,100.0
69N,Pohjolan Liikenne,9,9,100.0
69,Koiviston Auto,116,116,100.0
