linja,operaattori,suunnitellut,ajettu,luotettavuus
23,Pohjolan Liikenne,120,100,83.33
506,Pohjolan Liikenne,91,82,90.11
841,Pohjolan Liikenne,33,30,90.91
731,Koiviston Auto,66,62,93.94
400,Koiviston Auto,228,216,94.74
69,Koiviston Auto,96,91,94.79
97N,Koiviston Auto,20,19,95.0
574,Pohjolan Liikenne,71,68,95.77
975,Pohjolan Liikenne,48,46,95.83
976,Pohjolan Liikenne,51,49,96.08
736,Koiviston Auto,30,29,96.67
721,Koiviston Auto,70,68,97.14
63,Koiviston Auto,109,106,97.25
530,Pohjolan Liikenne,189,184,97.35
520,Pohjolan Liikenne,194,189,97.42
165,Pohjolan Liikenne,78,76,97.44
571,Pohjolan Liikenne,81,79,97.53
249Y,Nobina Finland,56,55,98.21
113,Koiviston Auto,117,115,98.29
711K,Koiviston Auto,71,70,98.59
114,Koiviston Auto,118,117,99.15
531,Pohjolan Liikenne,124,123,99.19
510,Nobina Finland,159,158,99.37
570,Koiviston Auto,184,183,99.46
40,Nobina Finland,296,295,99.66
159,Nobina Finland,111,111,100.0
158,Nobina Finland,120,120,100.0
16,Nobina Finland,91,91,100.0
163K,Pohjolan Liikenne,60,60,100.0
111,Koiviston Auto,116,116,100.0
162,Pohjolan Liikenne,120,120,100.0
112N,Nobina Finland,17,17,100.0
20,Nobina Finland,148,148,100.0
200,Nobina Finland,174,174,100.0
202,Pohjolan Liikenne,69,69,100.0
201,Nurmijärven Linja,14,14,100.0
21,Tammelundin Liikenne,187,187,100.0
211E,Nobina Finland,127,127,100.0
211U,Nobina Finland,37,37,100.0
202N,Pohjolan Liikenne,2,2,100.0
214,Pohjolan Liikenne,49,49,100.0
214A,Pohjolan Liikenne,21,21,100.0
215,Pohjolan Liikenne,49,49,100.0
21N,Tammelundin Liikenne,18,18,100.0
22,Tammelundin Liikenne,69,69,100.0
224,Pohjolan Liikenne,68,68,100.0
227,Pohjolan Liikenne,68,68,100.0
213X,Nobina Finland,118,118,100.0
227N,Pohjolan Liikenne,9,9,100.0
22B,Tammelundin Liikenne,72,72,100.0
231N,Pohjolan Liikenne,16,16,100.0
235N,Pohjolan Liikenne,9,9,100.0
236,Pohjolan Liikenne,36,36,100.0
165N,Pohjolan Liikenne,17,17,100.0
113N,Koiviston Auto,10,10,100.0
102N,Koiviston Auto,22,22,100.0
118,Nobina Finland,119,119,100.0
118N,Nobina Finland,18,18,100.0
124,Nobina Finland,98,98,100.0
125,Nobina Finland,84,84,100.0
125N,Nobina Finland,18,18,100.0
133,Pohjolan Liikenne,46,46,100.0
147N,Pohjolan Liikenne,18,18,100.0
105,Pohjolan Liikenne,67,67,100.0
247B,Nobina Finland,2,2,100.0
247,Nobina Finland,18,18,100.0
246T,Nobina Finland,1,1,100.0
246K,Nobina Finland,18,18,100.0
246,Nobina Finland,8,8,100.0
245A,Nobina Finland,48,48,100.0
244,Nobina Finland,15,15,100.0
243,Nobina Finland,16,16,100.0
242,V-S Bussipalvelut,22,22,100.0
24,Nobina Finland,74,74,100.0
239,Pohjolan Liikenne,34,34,100.0
36,Nurmijärven Linja,8,8,100.0
345,Nobina Finland,46,46,100.0
335B,Nobina Finland,63,63,100.0
300,Nobina Finland,205,205,100.0
248X,Nobina Finland,50,50,100.0
415N,Pohjolan Liikenne,8,8,100.0
41,Nobina Finland,91,91,100.0
401X,Nobina Finland,179,179,100.0
42,Nobina Finland,91,91,100.0
434,Tammelundin Liikenne,98,98,100.0
431,Koiviston Auto,37,37,100.0
431N,Nobina Finland,14,14,100.0
433,Tammelundin Liikenne,28,28,100.0
445,Tammelundin Liikenne,35,35,100.0
443,Tammelundin Liikenne,30,30,100.0
436N,Koiviston Auto,9,9,100.0
345N,Nobina Finland,2,2,100.0
37,Nobina Finland,138,138,100.0
311,Koiviston Auto,64,64,100.0
25,Nobina Finland,93,93,100.0
30,Nobina Finland,154,154,100.0
