linja,operaattori,suunnitellut,ajettu,luotettavuus
163K,Pohjolan Liikenne,61,44,72.13
721N,Koiviston Auto,11,8,72.73
67N,Pohjolan Liikenne,12,9,75.0
642,Pohjolan Liikenne,32,24,75.0
79N,Pohjolan Liikenne,21,16,76.19
665,Pohjolan Liikenne,30,23,76.67
74N,Tammelundin Liikenne,29,23,79.31
736B,Koiviston Auto,5,4,80.0
173N,Pohjolan Liikenne,6,5,83.33
831,Pohjolan Liikenne,15,13,86.67
731N,Koiviston Auto,15,13,86.67
506,Pohjolan Liikenne,92,82,89.13
431,Koiviston Auto,37,33,89.19
87N,Nobina Finland,19,17,89.47
736,Koiviston Auto,30,27,90.0
200,Nobina Finland,174,157,90.23
300,Nobina Finland,201,182,90.55
345,Nobina Finland,46,42,91.3
731,Koiviston Auto,66,61,92.42
40,Nobina Finland,226,209,92.48
584,Tammelundin Liikenne,54,50,92.59
30,Nobina Finland,153,142,92.81
243,Nobina Finland,16,15,93.75
65,Pohjolan Liikenne,121,114,94.21
92N,Koiviston Auto,21,20,95.24
85N,Nobina Finland,21,20,95.24
66,Pohjolan Liikenne,107,102,95.33
78N,Nobina Finland,48,46,95.83
549,Nobina Finland,120,115,95.83
562,Koiviston Auto,98,94,95.92
583,Tammelundin Liikenne,53,51,96.23
561,Koiviston Auto,89,86,96.63
158,Nobina Finland,120,116,96.67
20,Nobina Finland,149,145,97.32
165,Pohjolan Liikenne,78,76,97.44
124,Nobina Finland,118,115,97.46
611,Pohjolan Liikenne,94,92,97.87
717,Koiviston Auto,94,92,97.87
64,Pohjolan Liikenne,99,97,97.98
159,Nobina Finland,112,110,98.21
81,Nobina Finland,130,128,98.46
711K,Koiviston Auto,71,70,98.59
735,Koiviston Auto,92,91,98.91
560,Koiviston Auto,188,187,99.47
224,Pohjolan Liikenne,61,61,100.0
224B,Pohjolan Liikenne,6,6,100.0
227,Pohjolan Liikenne,69,69,100.0
227N,Pohjolan Liikenne,9,9,100.0
201,Nurmijärven Linja,14,14,100.0
182A,Pohjolan Liikenne,10,10,100.0
173,Pohjolan Liikenne,13,13,100.0
202,Pohjolan Liikenne,69,69,100.0
214A,Pohjolan Liikenne,20,20,100.0
202N,Pohjolan Liikenne,2,2,100.0
21,Tammelundin Liikenne,187,187,100.0
214,Pohjolan Liikenne,52,52,100.0
147N,Pohjolan Liikenne,18,18,100.0
133,Pohjolan Liikenne,53,53,100.0
125N,Nobina Finland,18,18,100.0
114N,Koiviston Auto,8,8,100.0
113,Koiviston Auto,108,108,100.0
114,Koiviston Auto,116,116,100.0
102N,Koiviston Auto,19,19,100.0
105,Pohjolan Liikenne,68,68,100.0
311,Koiviston Auto,64,64,100.0
25,Nobina Finland,94,94,100.0
247,Nobina Finland,18,18,100.0
247B,Nobina Finland,2,2,100.0
246T,Nobina Finland,1,1,100.0
246K,Nobina Finland,17,17,100.0
245A,Nobina Finland,48,48,100.0
246,Nobina Finland,9,9,100.0
239,Pohjolan Liikenne,34,34,100.0
24,Nobina Finland,34,34,100.0
244,Nobina Finland,15,15,100.0
242,V-S Bussipalvelut,22,22,100.0
