linja,operaattori,suunnitellut,ajettu,luotettavuus
978K,Pohjolan Liikenne,20,16,80.0
23,Pohjolan Liikenne,120,100,83.33
105,Pohjolan Liikenne,67,56,83.58
717N,Koiviston Auto,18,16,88.89
431,Koiviston Auto,37,33,89.19
97N,Koiviston Auto,20,18,90.0
973,Pohjolan Liikenne,62,56,90.32
711K,Koiviston Auto,71,65,91.55
562,Koiviston Auto,98,90,91.84
739,Koiviston Auto,38,35,92.11
431N,Nobina Finland,14,13,92.86
69,Koiviston Auto,94,88,93.62
717,Koiviston Auto,93,88,94.62
978,Pohjolan Liikenne,43,41,95.35
16,Nobina Finland,91,87,95.6
400,Koiviston Auto,228,219,96.05
976,Pohjolan Liikenne,51,49,96.08
560,Koiviston Auto,187,180,96.26
249Y,Nobina Finland,56,54,96.43
736,Koiviston Auto,30,29,96.67
553,Koiviston Auto,95,92,96.84
731,Koiviston Auto,66,64,96.97
631,Koiviston Auto,73,71,97.26
213X,Nobina Finland,118,115,97.46
159,Nobina Finland,111,109,98.2
158,Nobina Finland,120,118,98.33
211E,Nobina Finland,127,125,98.43
619,Koiviston Auto,64,63,98.44
641,Pohjolan Liikenne,67,66,98.51
71,Nobina Finland,174,172,98.85
200,Nobina Finland,174,172,98.85
520,Pohjolan Liikenne,194,192,98.97
510,Nobina Finland,157,156,99.36
40,Nobina Finland,296,295,99.66
20,Nobina Finland,148,148,100.0
173Z,Pohjolan Liikenne,23,23,100.0
202N,Pohjolan Liikenne,2,2,100.0
202,Pohjolan Liikenne,69,69,100.0
21,Tammelundin Liikenne,187,187,100.0
201,Nurmijärven Linja,14,14,100.0
214,Pohjolan Liikenne,49,49,100.0
214A,Pohjolan Liikenne,21,21,100.0
215,Pohjolan Liikenne,49,49,100.0
21N,Tammelundin Liikenne,18,18,100.0
22,Tammelundin Liikenne,69,69,100.0
224,Pohjolan Liikenne,68,68,100.0
227,Pohjolan Liikenne,68,68,100.0
211U,Nobina Finland,37,37,100.0
227N,Pohjolan Liikenne,9,9,100.0
182K,Pohjolan Liikenne,1,1,100.0
182A,Pohjolan Liikenne,9,9,100.0
147N,Pohjolan Liikenne,18,18,100.0
165,Pohjolan Liikenne,78,78,100.0
133,Pohjolan Liikenne,46,46,100.0
162,Pohjolan Liikenne,120,120,100.0
163K,Pohjolan Liikenne,60,60,100.0
114N,Koiviston Auto,8,8,100.0
118,Nobina Finland,119,119,100.0
124,Nobina Finland,98,98,100.0
118N,Nobina Finland,18,18,100.0
113,Koiviston Auto,117,117,100.0
113N,Koiviston Auto,10,10,100.0
111,Koiviston Auto,116,116,100.0
102N,Koiviston Auto,19,19,100.0
247B,Nobina Finland,2,2,100.0
247,Nobina Finland,18,18,100.0
246T,Nobina Finland,1,1,100.0
246K,Nobina Finland,18,18,100.0
246,Nobina Finland,8,8,100.0
245A,Nobina Finland,48,48,100.0
244,Nobina Finland,15,15,100.0
243,Nobina Finland,16,16,100.0
242,V-S Bussipalvelut,22,22,100.0
24,Nobina Finland,74,74,100.0
239,Pohjolan Liikenne,34,34,100.0
345N,Nobina Finland,2,2,100.0
345,Nobina Finland,46,46,100.0
335B,Nobina Finland,63,63,100.0
36,Nurmijärven Linja,8,8,100.0
248X,Nobina Finland,50,50,100.0
415N,Pohjolan Liikenne,8,8,100.0
41,Nobina Finland,91,91,100.0
401X,Nobina Finland,179,179,100.0
37,Nobina Finland,138,138,100.0
434,Tammelundin Liikenne,98,98,100.0
436N,Koiviston Auto,9,9,100.0
42,Nobina Finland,91,91,100.0
433,Tammelundin Liikenne,28,28,100.0
445,Tammelundin Liikenne,35,35,100.0
443,Tammelundin Liikenne,30,30,100.0
502,Nobina Finland,69,69,100.0
500,Pohjolan Liikenne,147,147,100.0
300,Nobina Finland,205,205,100.0
311,Koiviston Auto,64,64,100.0
25,Nobina Finland,93,93,100.0
30,Nobina Finland,154,154,100.0
522,Pohjolan Liikenne,34,34,100.0
521,Pohjolan Liikenne,34,34,100.0
52,Nobina Finland,135,135,100.0
506,Pohjolan Liikenne,91,91,100.0
544,Nobina Finland,111,111,100.0
531,Pohjolan Liikenne,124,124,100.0
533,Nobina Finland,94,94,100.0
530,Pohjolan Liikenne,189,189,100.0
55,Pohjolan Liikenne,100,100,100.0
549,Nobina Finland,95,95,100.0
548,Nobina Finland,93,93,100.0
554,Koiviston Auto,94,94,100.0
56,Nobina Finland,141,141,100.0
561,Koiviston Auto,89,89,100.0
57,Nobina Finland,143,143,100.0
542,Pohjolan Liikenne,123,123,100.0
570,Koiviston Auto,184,184,100.0
22B,Tammelundin Liikenne,72,72,100.0
231N,Pohjolan Liikenne,16,16,100.0
235N,Pohjolan Liikenne,9,9,100.0
236,Pohjolan Liikenne,36,36,100.0
165N,Pohjolan Liikenne,17,17,100.0
166,V-S Bussipalvelut,20,20,100.0
166K,V-S Bussipalvelut,4,4,100.0
167,V-S Bussipalvelut,24,24,100.0
171,Pohjolan Liikenne,50,50,100.0
173,Pohjolan Liikenne,13,13,100.0
173N,Pohjolan Liikenne,6,6,100.0
125,Nobina Finland,84,84,100.0
125N,Nobina Finland,18,18,100.0
114,Koiviston Auto,118,118,100.0
112N,Nobina Finland,17,17,100.0
623,Koiviston Auto,35,35,100.0
61N,Pohjolan Liikenne,19,19,100.0
614K,Koiviston Auto,31,31,100.0
611,Pohjolan Liikenne,94,94,100.0
600,Koiviston Auto,198,198,100.0
61,Pohjolan Liikenne,101,101,100.0
59,Pohjolan Liikenne,130,130,100.0
587,Koiviston Auto,36,36,100.0
576,Tammelundin Liikenne,37,37,100.0
584,Tammelundin Liikenne,46,46,100.0
583,Tammelundin Liikenne,45,45,100.0
582,Nobina Finland,23,23,100.0
571,Pohjolan Liikenne,81,81,100.0
574,Pohjolan Liikenne,71,71,100.0
570N,Koiviston Auto,16,16,100.0
642,Pohjolan Liikenne,32,32,100.0
67,Pohjolan Liikenne,107,107,100.0
665N,Pohjolan Liikenne,2,2,100.0
665,Pohjolan Liikenne,31,31,100.0
66,Pohjolan Liikenne,107,107,100.0
65,Pohjolan Liikenne,121,121,100.0
643N,Pohjolan Liikenne,3,3,100.0
69N,Pohjolan Liikenne,20,20,100.0
67N,Pohjolan Liikenne,12,12,100.0
717K,Koiviston Auto,2,2,100.0
712,Koiviston Auto,22,22,100.0
721N,Koiviston Auto,11,11,100.0
643K,Pohjolan Liikenne,30,30,100.0
63,Koiviston Auto,109,109,100.0
625,Korsisaari,20,20,100.0
624,Koiviston Auto,69,69,100.0
624N,Koiviston Auto,10,10,100.0
735,Koiviston Auto,74,74,100.0
734,Koiviston Auto,63,63,100.0
736B,Koiviston Auto,4,4,100.0
73N,Tammelundin Liikenne,19,19,100.0
74,Tammelundin Liikenne,88,88,100.0
74N,Tammelundin Liikenne,29,29,100.0
75,Pohjolan Liikenne,102,102,100.0
77,Pohjolan Liikenne,91,91,100.0
77N,Nobina Finland,20,20,100.0
78,Nobina Finland,78,78,100.0
785K,Pohjolan Liikenne,1,1,100.0
787B,Pohjolan Liikenne,1,1,100.0
787K,Pohjolan Liikenne,2,2,100.0
788B,Pohjolan Liikenne,1,1,100.0
788K,Pohjolan Liikenne,3,3,100.0
78N,Nobina Finland,48,48,100.0
79,Nobina Finland,135,135,100.0
79N,Pohjolan Liikenne,21,21,100.0
80,Nobina Finland,104,104,100.0
81,Nobina Finland,128,128,100.0
82,Nobina Finland,95,95,100.0
82B,Nobina Finland,12,12,100.0
83,Nobina Finland,46,46,100.0
831,Pohjolan Liikenne,15,15,100.0
831K,Pohjolan Liikenne,16,16,100.0
84,Nobina Finland,123,123,100.0
841,Pohjolan Liikenne,33,33,100.0
721,Koiviston Auto,70,70,100.0
73,Tammelundin Liikenne,88,88,100.0
731N,Koiviston Auto,15,15,100.0
633N,Pohjolan Liikenne,10,10,100.0
64,Pohjolan Liikenne,99,99,100.0
85,Nobina Finland,73,73,100.0
844,Pohjolan Liikenne,24,24,100.0
843,Pohjolan Liikenne,6,6,100.0
842,Pohjolan Liikenne,32,32,100.0
841N,Pohjolan Liikenne,3,3,100.0
85N,Nobina Finland,21,21,100.0
86N,Nobina Finland,4,4,100.0
85K,Nobina Finland,33,33,100.0
89,Nobina Finland,97,97,100.0
90,Koiviston Auto,122,122,100.0
904,Pohjolan Liikenne,8,8,100.0
90A,Koiviston Auto,3,3,100.0
90N,Koiviston Auto,24,24,100.0
87,Nobina Finland,113,113,100.0
86,Nobina Finland,91,91,100.0
86K,Nobina Finland,11,11,100.0
92N,Koiviston Auto,22,22,100.0
92,Koiviston Auto,117,117,100.0
911,Pohjolan Liikenne,26,26,100.0
94,Koiviston Auto,118,118,100.0
95N,Koiviston Auto,8,8,100.0
