linja,operaattori,suunnitellut,ajettu,luotettavuus
162,Pohjolan Liikenne,73,54,73.97
165N,Pohjolan Liikenne,9,7,77.78
643K,Pohjolan Liikenne,18,14,77.78
165,Pohjolan Liikenne,73,64,87.67
831,Pohjolan Liikenne,14,13,92.86
243,Nobina Finland,16,15,93.75
24,Nobina Finland,34,32,94.12
721,Koiviston Auto,70,66,94.29
560,Koiviston Auto,177,168,94.92
30,Nobina Finland,136,130,95.59
20,Nobina Finland,133,129,96.99
549,Nobina Finland,71,69,97.18
118,Nobina Finland,121,118,97.52
42,Nobina Finland,92,90,97.83
64,Pohjolan Liikenne,95,93,97.89
81,Nobina Finland,122,120,98.36
52,Nobina Finland,142,140,98.59
25,Nobina Finland,92,91,98.91
66,Pohjolan Liikenne,104,103,99.04
56,Nobina Finland,139,138,99.28
530,Pohjolan Liikenne,144,143,99.31
158,Nobina Finland,71,71,100.0
133,Pohjolan Liikenne,34,34,100.0
147N,Pohjolan Liikenne,8,8,100.0
167,V-S Bussipalvelut,24,24,100.0
118N,Nobina Finland,6,6,100.0
124,Nobina Finland,70,70,100.0
125N,Nobina Finland,8,8,100.0
163K,Pohjolan Liikenne,32,32,100.0
16,Nobina Finland,83,83,100.0
166,V-S Bussipalvelut,24,24,100.0
159,Nobina Finland,60,60,100.0
202,Pohjolan Liikenne,69,69,100.0
200,Nobina Finland,135,135,100.0
182A,Pohjolan Liikenne,9,9,100.0
173Z,Pohjolan Liikenne,20,20,100.0
21,Tammelundin Liikenne,173,173,100.0
211E,Nobina Finland,108,108,100.0
211U,Nobina Finland,36,36,100.0
213X,Koiviston Auto,114,114,100.0
22,Tammelundin Liikenne,59,59,100.0
224,Pohjolan Liikenne,58,58,100.0
224B,Pohjolan Liikenne,6,6,100.0
227,Pohjolan Liikenne,66,66,100.0
214,Pohjolan Liikenne,48,48,100.0
214A,Pohjolan Liikenne,20,20,100.0
215,Pohjolan Liikenne,47,47,100.0
21N,Tammelundin Liikenne,10,10,100.0
231N,Pohjolan Liikenne,11,11,100.0
23,Pohjolan Liikenne,114,114,100.0
22B,Tammelundin Liikenne,69,69,100.0
227N,Pohjolan Liikenne,6,6,100.0
239,Pohjolan Liikenne,34,34,100.0
242,V-S Bussipalvelut,22,22,100.0
236,Pohjolan Liikenne,34,34,100.0
235N,Pohjolan Liikenne,6,6,100.0
245A,Nobina Finland,43,43,100.0
171,Pohjolan Liikenne,49,49,100.0
173N,Pohjolan Liikenne,2,2,100.0
125,Nobina Finland,70,70,100.0
114N,Koiviston Auto,2,2,100.0
102N,Koiviston Auto,9,9,100.0
