linja,operaattori,suunnitellut,ajettu,luotettavuus
736,Koiviston Auto,29,24,82.76
63,Koiviston Auto,104,91,87.5
502,Nobina Finland,70,62,88.57
69,Koiviston Auto,90,80,88.89
401X,Nobina Finland,175,156,89.14
739,Koiviston Auto,38,34,89.47
731,Koiviston Auto,66,61,92.42
831,Pohjolan Liikenne,14,13,92.86
243,Nobina Finland,16,15,93.75
711K,Koiviston Auto,70,66,94.29
37,Nobina Finland,126,120,95.24
24,Nobina Finland,72,69,95.83
500,Pohjolan Liikenne,131,126,96.18
335B,Nobina Finland,60,58,96.67
200,Nobina Finland,135,131,97.04
165,Pohjolan Liikenne,73,71,97.26
57,Nobina Finland,134,131,97.76
41,Nobina Finland,91,89,97.8
25,Nobina Finland,93,91,97.85
81,Nobina Finland,122,120,98.36
59,Pohjolan Liikenne,126,124,98.41
631,Koiviston Auto,66,65,98.48
113,Koiviston Auto,69,68,98.55
600,Koiviston Auto,168,166,98.81
118,Nobina Finland,121,121,100.0
159,Nobina Finland,60,60,100.0
158,Nobina Finland,71,71,100.0
16,Nobina Finland,83,83,100.0
163K,Pohjolan Liikenne,32,32,100.0
165N,Pohjolan Liikenne,9,9,100.0
162,Pohjolan Liikenne,73,73,100.0
111,Koiviston Auto,68,68,100.0
20,Nobina Finland,133,133,100.0
182K,Pohjolan Liikenne,1,1,100.0
182A,Pohjolan Liikenne,8,8,100.0
173Z,Pohjolan Liikenne,21,21,100.0
173X,Pohjolan Liikenne,1,1,100.0
202,Pohjolan Liikenne,69,69,100.0
21,Tammelundin Liikenne,173,173,100.0
214,Pohjolan Liikenne,48,48,100.0
224,Pohjolan Liikenne,58,58,100.0
224B,Pohjolan Liikenne,6,6,100.0
227,Pohjolan Liikenne,66,66,100.0
227N,Pohjolan Liikenne,6,6,100.0
214A,Pohjolan Liikenne,20,20,100.0
215,Pohjolan Liikenne,47,47,100.0
21N,Tammelundin Liikenne,10,10,100.0
22,Tammelundin Liikenne,59,59,100.0
235N,Pohjolan Liikenne,6,6,100.0
231N,Pohjolan Liikenne,11,11,100.0
23,Pohjolan Liikenne,114,114,100.0
22B,Tammelundin Liikenne,69,69,100.0
242,V-S Bussipalvelut,22,22,100.0
244,Nobina Finland,14,14,100.0
166,V-S Bussipalvelut,24,24,100.0
167,V-S Bussipalvelut,24,24,100.0
171,Pohjolan Liikenne,49,49,100.0
118N,Nobina Finland,6,6,100.0
124,Nobina Finland,70,70,100.0
102N,Koiviston Auto,9,9,100.0
112N,Nobina Finland,10,10,100.0
113N,Koiviston Auto,4,4,100.0
114,Koiviston Auto,110,110,100.0
105,Pohjolan Liikenne,66,66,100.0
311,Koiviston Auto,64,64,100.0
300,Nobina Finland,137,137,100.0
30,Nobina Finland,136,136,100.0
247B,Nobina Finland,2,2,100.0
246K,Nobina Finland,17,17,100.0
247,Nobina Finland,16,16,100.0
245A,Nobina Finland,43,43,100.0
246,Nobina Finland,9,9,100.0
236,Pohjolan Liikenne,34,34,100.0
239,Pohjolan Liikenne,34,34,100.0
431N,Nobina Finland,5,5,100.0
431,Koiviston Auto,36,36,100.0
42,Nobina Finland,91,91,100.0
345N,Nobina Finland,1,1,100.0
40,Nobina Finland,256,256,100.0
345,Nobina Finland,44,44,100.0
445,Tammelundin Liikenne,35,35,100.0
443,Tammelundin Liikenne,28,28,100.0
506,Pohjolan Liikenne,90,90,100.0
510,Nobina Finland,137,137,100.0
52,Nobina Finland,133,133,100.0
520,Pohjolan Liikenne,151,151,100.0
521,Pohjolan Liikenne,30,30,100.0
522,Pohjolan Liikenne,32,32,100.0
530,Pohjolan Liikenne,144,144,100.0
531,Pohjolan Liikenne,74,74,100.0
533,Nobina Finland,68,68,100.0
433,Tammelundin Liikenne,24,24,100.0
434,Tammelundin Liikenne,98,98,100.0
436N,Koiviston Auto,3,3,100.0
400,Koiviston Auto,217,217,100.0
