linja,operaattori,suunnitellut,ajettu,luotettavuus
570N,Koiviston Auto,16,14,87.5
30,Nobina Finland,136,124,91.18
711K,Koiviston Auto,70,64,91.43
963,Pohjolan Liikenne,26,24,92.31
977V,Pohjolan Liikenne,14,13,92.86
977,Pohjolan Liikenne,14,13,92.86
20,Nobina Finland,133,125,93.98
641,Pohjolan Liikenne,64,61,95.31
978,Pohjolan Liikenne,45,43,95.56
717,Koiviston Auto,93,89,95.7
642,Pohjolan Liikenne,24,23,95.83
665K,Pohjolan Liikenne,25,24,96.0
611,Pohjolan Liikenne,90,88,97.78
600,Koiviston Auto,168,165,98.21
500,Pohjolan Liikenne,131,129,98.47
571,Pohjolan Liikenne,68,67,98.53
124,Pohjolan Liikenne,92,91,98.91
66,Pohjolan Liikenne,104,103,99.04
37,Nobina Finland,105,104,99.05
59,Pohjolan Liikenne,126,125,99.21
40,Nobina Finland,201,200,99.5
166,V-S Bussipalvelut,20,20,100.0
165,Pohjolan Liikenne,74,74,100.0
102N,Nobina Finland,9,9,100.0
118,Pohjolan Liikenne,123,123,100.0
118N,Pohjolan Liikenne,7,7,100.0
167,V-S Bussipalvelut,24,24,100.0
166K,V-S Bussipalvelut,4,4,100.0
173,Pohjolan Liikenne,14,14,100.0
173N,Pohjolan Liikenne,2,2,100.0
111,Nobina Finland,70,70,100.0
113N,Nobina Finland,4,4,100.0
214A,Pohjolan Liikenne,20,20,100.0
214,Pohjolan Liikenne,48,48,100.0
21,Nobina Finland,169,169,100.0
215,Pohjolan Liikenne,47,47,100.0
224B,Pohjolan Liikenne,6,6,100.0
21N,Nobina Finland,10,10,100.0
22,Nobina Finland,73,73,100.0
224,Pohjolan Liikenne,58,58,100.0
22B,Nobina Finland,29,29,100.0
23,Pohjolan Liikenne,114,114,100.0
231N,Pohjolan Liikenne,10,10,100.0
235N,Pohjolan Liikenne,5,5,100.0
236,Pohjolan Liikenne,34,34,100.0
224X,Pohjolan Liikenne,50,50,100.0
227,Pohjolan Liikenne,66,66,100.0
227N,Pohjolan Liikenne,6,6,100.0
242,V-S Bussipalvelut,22,22,100.0
24,Nobina Finland,34,34,100.0
239,Pohjolan Liikenne,34,34,100.0
243,Nobina Finland,16,16,100.0
246K,Nobina Finland,17,17,100.0
244,Nobina Finland,14,14,100.0
173X,Pohjolan Liikenne,1,1,100.0
171,Pohjolan Liikenne,49,49,100.0
173Z,Pohjolan Liikenne,21,21,100.0
182A,Pohjolan Liikenne,8,8,100.0
125,Pohjolan Liikenne,77,77,100.0
125N,Pohjolan Liikenne,8,8,100.0
133,Pohjolan Liikenne,27,27,100.0
114,Nobina Finland,107,107,100.0
114N,Nobina Finland,2,2,100.0
105B,Nobina Finland,48,48,100.0
345,Nobina Finland,44,44,100.0
345N,Nobina Finland,1,1,100.0
311,Koiviston Auto,64,64,100.0
335B,Nobina Finland,55,55,100.0
300,Nobina Finland,137,137,100.0
247,Nobina Finland,16,16,100.0
247B,Nobina Finland,2,2,100.0
25,Nobina Finland,92,92,100.0
246,Nobina Finland,9,9,100.0
245A,Nobina Finland,43,43,100.0
41A,Nobina Finland,93,93,100.0
400,Koiviston Auto,136,136,100.0
431,Koiviston Auto,36,36,100.0
431N,Nobina Finland,5,5,100.0
433,Tammelundin Liikenne,24,24,100.0
415N,Pohjolan Liikenne,4,4,100.0
52,Nobina Finland,142,142,100.0
520,Pohjolan Liikenne,147,147,100.0
522,Pohjolan Liikenne,32,32,100.0
521,Pohjolan Liikenne,30,30,100.0
548,Nobina Finland,69,69,100.0
549,Nobina Finland,72,72,100.0
55,Pohjolan Liikenne,96,96,100.0
530,Pohjolan Liikenne,138,138,100.0
434,Tammelundin Liikenne,98,98,100.0
436N,Koiviston Auto,3,3,100.0
443,Tammelundin Liikenne,28,28,100.0
445,Tammelundin Liikenne,35,35,100.0
502,Nobina Finland,69,69,100.0
506,Pohjolan Liikenne,90,90,100.0
510,Nobina Finland,137,137,100.0
42,Nobina Finland,92,92,100.0
570,Koiviston Auto,138,138,100.0
57,Nobina Finland,133,133,100.0
562,Koiviston Auto,75,75,100.0
561,Koiviston Auto,66,66,100.0
56,Nobina Finland,139,139,100.0
560,Koiviston Auto,177,177,100.0
554,Koiviston Auto,92,92,100.0
553,Koiviston Auto,95,95,100.0
587,Koiviston Auto,36,36,100.0
584,Tammelundin Liikenne,34,34,100.0
61,Pohjolan Liikenne,97,97,100.0
614K,Koiviston Auto,28,28,100.0
582,Nobina Finland,23,23,100.0
583,Tammelundin Liikenne,34,34,100.0
576,Tammelundin Liikenne,37,37,100.0
574,Pohjolan Liikenne,64,64,100.0
624,Koiviston Auto,69,69,100.0
623,Koiviston Auto,35,35,100.0
61N,Pohjolan Liikenne,9,9,100.0
619,Koiviston Auto,68,68,100.0
631,Koiviston Auto,66,66,100.0
63,Koiviston Auto,104,104,100.0
624N,Koiviston Auto,4,4,100.0
625,Korsisaari,19,19,100.0
633N,Pohjolan Liikenne,2,2,100.0
64,Pohjolan Liikenne,95,95,100.0
182K,Pohjolan Liikenne,1,1,100.0
200,Nobina Finland,131,131,100.0
202,Pohjolan Liikenne,69,69,100.0
162,Pohjolan Liikenne,62,62,100.0
163,Pohjolan Liikenne,32,32,100.0
113,Nobina Finland,70,70,100.0
69N,Pohjolan Liikenne,10,10,100.0
69,Koiviston Auto,90,90,100.0
67N,Pohjolan Liikenne,1,1,100.0
67,Pohjolan Liikenne,104,104,100.0
643K,Pohjolan Liikenne,18,18,100.0
65,Pohjolan Liikenne,106,106,100.0
71,Nobina Finland,152,152,100.0
712,Koiviston Auto,22,22,100.0
73,Tammelundin Liikenne,81,81,100.0
731,Koiviston Auto,66,66,100.0
731N,Koiviston Auto,9,9,100.0
734,Koiviston Auto,59,59,100.0
717K,Koiviston Auto,2,2,100.0
717N,Koiviston Auto,10,10,100.0
721,Koiviston Auto,70,70,100.0
721N,Koiviston Auto,5,5,100.0
73N,Tammelundin Liikenne,22,22,100.0
74,Tammelundin Liikenne,79,79,100.0
74N,Tammelundin Liikenne,24,24,100.0
75,Pohjolan Liikenne,97,97,100.0
77,Pohjolan Liikenne,86,86,100.0
77N,Nobina Finland,9,9,100.0
78,Nobina Finland,76,76,100.0
785K,Pohjolan Liikenne,1,1,100.0
787B,Pohjolan Liikenne,1,1,100.0
787K,Pohjolan Liikenne,1,1,100.0
788B,Pohjolan Liikenne,1,1,100.0
788K,Pohjolan Liikenne,3,3,100.0
735,Koiviston Auto,92,92,100.0
