linja,operaattori,suunnitellut,ajettu,luotettavuus
96N,Koiviston Auto,10,7,70.0
23,Pohjolan Liikenne,114,99,86.84
562,Koiviston Auto,75,68,90.67
300,Nobina Finland,139,127,91.37
90N,Koiviston Auto,12,11,91.67
55,Pohjolan Liikenne,96,90,93.75
75,Pohjolan Liikenne,98,93,94.9
400,Koiviston Auto,187,178,95.19
600,Koiviston Auto,166,159,95.78
553,Koiviston Auto,95,91,95.79
37,Nobina Finland,126,122,96.83
200,Nobina Finland,127,123,96.85
561,Koiviston Auto,66,64,96.97
570,Koiviston Auto,138,134,97.1
530,Pohjolan Liikenne,143,142,99.3
520,Pohjolan Liikenne,151,150,99.34
159,Nobina Finland,60,60,100.0
16,Nobina Finland,83,83,100.0
162,Pohjolan Liikenne,73,73,100.0
163K,Pohjolan Liikenne,32,32,100.0
165,Pohjolan Liikenne,73,73,100.0
113N,Koiviston Auto,4,4,100.0
111,Koiviston Auto,67,67,100.0
112N,Nobina Finland,9,9,100.0
118,Nobina Finland,117,117,100.0
118N,Nobina Finland,6,6,100.0
124,Nobina Finland,70,70,100.0
125,Nobina Finland,58,58,100.0
125N,Nobina Finland,8,8,100.0
113,Koiviston Auto,68,68,100.0
102N,Koiviston Auto,9,9,100.0
105,Pohjolan Liikenne,65,65,100.0
182K,Pohjolan Liikenne,1,1,100.0
182A,Pohjolan Liikenne,8,8,100.0
202,Pohjolan Liikenne,69,69,100.0
20,Nobina Finland,133,133,100.0
211E,Nobina Finland,116,116,100.0
211U,Nobina Finland,32,32,100.0
213X,Nobina Finland,114,114,100.0
21,Tammelundin Liikenne,142,142,100.0
214A,Pohjolan Liikenne,23,23,100.0
215,Pohjolan Liikenne,46,46,100.0
21N,Tammelundin Liikenne,10,10,100.0
22,Tammelundin Liikenne,59,59,100.0
224,Pohjolan Liikenne,65,65,100.0
227,Pohjolan Liikenne,67,67,100.0
227N,Pohjolan Liikenne,6,6,100.0
214,Pohjolan Liikenne,46,46,100.0
22B,Tammelundin Liikenne,69,69,100.0
231N,Pohjolan Liikenne,10,10,100.0
235N,Pohjolan Liikenne,5,5,100.0
236,Pohjolan Liikenne,34,34,100.0
239,Pohjolan Liikenne,34,34,100.0
165N,Pohjolan Liikenne,9,9,100.0
166,V-S Bussipalvelut,20,20,100.0
166K,V-S Bussipalvelut,4,4,100.0
167,V-S Bussipalvelut,24,24,100.0
171,Pohjolan Liikenne,48,48,100.0
173,Pohjolan Liikenne,14,14,100.0
173N,Pohjolan Liikenne,2,2,100.0
173X,Pohjolan Liikenne,1,1,100.0
133,Pohjolan Liikenne,27,27,100.0
114,Koiviston Auto,108,108,100.0
114N,Koiviston Auto,2,2,100.0
249Y,Nobina Finland,50,50,100.0
248X,Nobina Finland,47,47,100.0
247B,Nobina Finland,2,2,100.0
247,Nobina Finland,16,16,100.0
246K,Nobina Finland,18,18,100.0
246,Nobina Finland,8,8,100.0
245A,Nobina Finland,43,43,100.0
244,Nobina Finland,14,14,100.0
243,Nobina Finland,16,16,100.0
242,V-S Bussipalvelut,22,22,100.0
24,Nobina Finland,72,72,100.0
40,Nobina Finland,226,226,100.0
345N,Nobina Finland,1,1,100.0
335B,Nobina Finland,60,60,100.0
311,Koiviston Auto,64,64,100.0
30,Nobina Finland,136,136,100.0
431N,Nobina Finland,5,5,100.0
431,Koiviston Auto,36,36,100.0
433,Tammelundin Liikenne,24,24,100.0
434,Tammelundin Liikenne,98,98,100.0
445,Tammelundin Liikenne,35,35,100.0
500,Pohjolan Liikenne,129,129,100.0
436N,Koiviston Auto,3,3,100.0
443,Tammelundin Liikenne,28,28,100.0
506,Pohjolan Liikenne,89,89,100.0
502,Nobina Finland,69,69,100.0
401X,Nobina Finland,175,175,100.0
41,Nobina Finland,91,91,100.0
415N,Pohjolan Liikenne,5,5,100.0
42,Nobina Finland,91,91,100.0
345,Nobina Finland,44,44,100.0
25,Nobina Finland,93,93,100.0
533,Nobina Finland,71,71,100.0
531,Pohjolan Liikenne,74,74,100.0
522,Pohjolan Liikenne,33,33,100.0
521,Pohjolan Liikenne,30,30,100.0
510,Nobina Finland,131,131,100.0
52,Nobina Finland,133,133,100.0
542,Pohjolan Liikenne,122,122,100.0
549,Nobina Finland,70,70,100.0
56,Nobina Finland,135,135,100.0
554,Koiviston Auto,92,92,100.0
548,Nobina Finland,67,67,100.0
560,Koiviston Auto,173,173,100.0
57,Nobina Finland,134,134,100.0
570N,Koiviston Auto,16,16,100.0
571,Pohjolan Liikenne,68,68,100.0
544,Nobina Finland,68,68,100.0
574,Pohjolan Liikenne,64,64,100.0
576,Tammelundin Liikenne,37,37,100.0
583,Tammelundin Liikenne,34,34,100.0
582,Nobina Finland,23,23,100.0
584,Tammelundin Liikenne,35,35,100.0
587,Koiviston Auto,36,36,100.0
59,Pohjolan Liikenne,126,126,100.0
61,Pohjolan Liikenne,97,97,100.0
611,Pohjolan Liikenne,90,90,100.0
614K,Koiviston Auto,31,31,100.0
619,Koiviston Auto,64,64,100.0
61N,Pohjolan Liikenne,9,9,100.0
623,Koiviston Auto,35,35,100.0
173Z,Pohjolan Liikenne,22,22,100.0
147N,Pohjolan Liikenne,8,8,100.0
158,Nobina Finland,71,71,100.0
625,Korsisaari,20,20,100.0
624N,Koiviston Auto,4,4,100.0
624,Koiviston Auto,69,69,100.0
63,Koiviston Auto,104,104,100.0
641,Pohjolan Liikenne,64,64,100.0
642,Pohjolan Liikenne,24,24,100.0
633N,Pohjolan Liikenne,2,2,100.0
