linja,operaattori,suunnitellut,ajettu,luotettavuus
843,Pohjolan Liikenne,6,4,66.67
215,Pohjolan Liikenne,65,51,78.46
236,Pohjolan Liikenne,36,30,83.33
214A,Pohjolan Liikenne,21,18,85.71
21,Nobina Finland,182,158,86.81
95N,Koiviston Auto,8,7,87.5
23,Pohjolan Liikenne,122,108,88.52
227N,Pohjolan Liikenne,9,8,88.89
721,Koiviston Auto,70,63,90.0
711K,Koiviston Auto,71,64,90.14
521,Pohjolan Liikenne,34,31,91.18
631,Koiviston Auto,73,67,91.78
842,Pohjolan Liikenne,32,30,93.75
963,Pohjolan Liikenne,32,30,93.75
841,Pohjolan Liikenne,33,31,93.94
731,Koiviston Auto,66,62,93.94
500,Pohjolan Liikenne,149,140,93.96
400,Koiviston Auto,183,174,95.08
111,Nobina Finland,115,110,95.65
975,Pohjolan Liikenne,47,45,95.74
844,Pohjolan Liikenne,24,23,95.83
976,Pohjolan Liikenne,51,49,96.08
736,Koiviston Auto,30,29,96.67
224,Pohjolan Liikenne,61,59,96.72
64,Pohjolan Liikenne,99,96,96.97
22B,Nobina Finland,37,36,97.3
739,Koiviston Auto,38,37,97.37
114,Nobina Finland,116,113,97.41
300,Nobina Finland,201,196,97.51
717,Koiviston Auto,94,92,97.87
245A,Nobina Finland,48,47,97.92
520,Pohjolan Liikenne,195,191,97.95
641,Pohjolan Liikenne,67,66,98.51
571,Pohjolan Liikenne,78,77,98.72
611,Pohjolan Liikenne,94,93,98.94
113,Nobina Finland,116,115,99.14
530,Pohjolan Liikenne,183,182,99.45
600,Koiviston Auto,213,212,99.53
211E,Nobina Finland,109,109,100.0
202N,Pohjolan Liikenne,2,2,100.0
171,Pohjolan Liikenne,52,52,100.0
21N,Nobina Finland,18,18,100.0
22,Nobina Finland,74,74,100.0
214,Pohjolan Liikenne,51,51,100.0
224B,Pohjolan Liikenne,6,6,100.0
227,Pohjolan Liikenne,69,69,100.0
213X,Nobina Finland,120,120,100.0
211U,Nobina Finland,44,44,100.0
235N,Pohjolan Liikenne,9,9,100.0
231N,Pohjolan Liikenne,16,16,100.0
202,Pohjolan Liikenne,69,69,100.0
201,Nurmijärven Linja,14,14,100.0
20,Nobina Finland,149,149,100.0
200,Nobina Finland,173,173,100.0
182K,Pohjolan Liikenne,1,1,100.0
182A,Pohjolan Liikenne,8,8,100.0
165,Pohjolan Liikenne,78,78,100.0
166,V-S Bussipalvelut,20,20,100.0
167,V-S Bussipalvelut,24,24,100.0
166K,V-S Bussipalvelut,4,4,100.0
173,Pohjolan Liikenne,13,13,100.0
102N,Nobina Finland,19,19,100.0
114N,Nobina Finland,8,8,100.0
113N,Nobina Finland,10,10,100.0
30,Nobina Finland,153,153,100.0
25,Nobina Finland,94,94,100.0
249Y,Nobina Finland,48,48,100.0
248X,Nobina Finland,44,44,100.0
247,Nobina Finland,18,18,100.0
247B,Nobina Finland,2,2,100.0
246T,Nobina Finland,1,1,100.0
246K,Nobina Finland,17,17,100.0
24,Nobina Finland,34,34,100.0
246,Nobina Finland,9,9,100.0
244,Nobina Finland,15,15,100.0
415N,Pohjolan Liikenne,8,8,100.0
41,Nobina Finland,91,91,100.0
311,Koiviston Auto,64,64,100.0
345,Nobina Finland,46,46,100.0
335B,Nobina Finland,60,60,100.0
436N,Koiviston Auto,9,9,100.0
434,Tammelundin Liikenne,100,100,100.0
433,Tammelundin Liikenne,28,28,100.0
431N,Nobina Finland,14,14,100.0
502,Nobina Finland,86,86,100.0
506,Pohjolan Liikenne,92,92,100.0
445,Tammelundin Liikenne,35,35,100.0
443,Tammelundin Liikenne,30,30,100.0
52,Nobina Finland,176,176,100.0
510,Nobina Finland,159,159,100.0
42,Nobina Finland,92,92,100.0
431,Koiviston Auto,37,37,100.0
345N,Nobina Finland,2,2,100.0
36,Nurmijärven Linja,8,8,100.0
37,Nobina Finland,113,113,100.0
40,Nobina Finland,226,226,100.0
554,Koiviston Auto,116,116,100.0
553,Koiviston Auto,95,95,100.0
55,Pohjolan Liikenne,100,100,100.0
549,Nobina Finland,112,112,100.0
548,Nobina Finland,110,110,100.0
522,Pohjolan Liikenne,34,34,100.0
561,Koiviston Auto,89,89,100.0
56,Nobina Finland,175,175,100.0
570N,Koiviston Auto,16,16,100.0
574,Pohjolan Liikenne,68,68,100.0
582,Nobina Finland,23,23,100.0
576,Tammelundin Liikenne,37,37,100.0
562,Koiviston Auto,98,98,100.0
57,Nobina Finland,177,177,100.0
570,Koiviston Auto,182,182,100.0
560,Koiviston Auto,188,188,100.0
59,Pohjolan Liikenne,131,131,100.0
587,Koiviston Auto,36,36,100.0
242,V-S Bussipalvelut,22,22,100.0
239,Pohjolan Liikenne,34,34,100.0
243,Nobina Finland,16,16,100.0
173N,Pohjolan Liikenne,6,6,100.0
173Z,Pohjolan Liikenne,22,22,100.0
105B,Nobina Finland,50,50,100.0
118N,Pohjolan Liikenne,19,19,100.0
124,Pohjolan Liikenne,92,92,100.0
125,Pohjolan Liikenne,77,77,100.0
125N,Pohjolan Liikenne,18,18,100.0
133,Pohjolan Liikenne,46,46,100.0
162,Pohjolan Liikenne,106,106,100.0
163,Pohjolan Liikenne,59,59,100.0
118,Pohjolan Liikenne,162,162,100.0
643K,Pohjolan Liikenne,30,30,100.0
642,Pohjolan Liikenne,32,32,100.0
63,Koiviston Auto,109,109,100.0
633N,Pohjolan Liikenne,10,10,100.0
625,Korsisaari,20,20,100.0
623,Koiviston Auto,35,35,100.0
624,Koiviston Auto,69,69,100.0
624N,Koiviston Auto,10,10,100.0
619,Koiviston Auto,68,68,100.0
614K,Koiviston Auto,30,30,100.0
61,Pohjolan Liikenne,101,101,100.0
61N,Pohjolan Liikenne,19,19,100.0
583,Tammelundin Liikenne,53,53,100.0
584,Tammelundin Liikenne,54,54,100.0
