linja,operaattori,suunnitellut,ajettu,luotettavuus
202N,Pohjolan Liikenne,2,1,50.0
227N,Pohjolan Liikenne,9,7,77.78
831,Pohjolan Liikenne,15,13,86.67
587,Koiviston Auto,36,33,91.67
642,Pohjolan Liikenne,32,30,93.75
243,Nobina Finland,16,15,93.75
562,Koiviston Auto,98,95,96.94
731,Koiviston Auto,66,64,96.97
22,Tammelundin Liikenne,69,67,97.1
711K,Koiviston Auto,71,69,97.18
57,Nobina Finland,143,139,97.2
165,Pohjolan Liikenne,78,76,97.44
717,Koiviston Auto,94,92,97.87
78N,Nobina Finland,48,47,97.92
500,Pohjolan Liikenne,149,146,97.99
71,Nobina Finland,174,171,98.28
530,Pohjolan Liikenne,191,188,98.43
81,Nobina Finland,130,128,98.46
105,Pohjolan Liikenne,68,67,98.53
561,Koiviston Auto,89,88,98.88
21,Tammelundin Liikenne,187,185,98.93
560,Koiviston Auto,188,186,98.94
520,Pohjolan Liikenne,196,194,98.98
400,Koiviston Auto,268,267,99.63
158,Nobina Finland,120,120,100.0
159,Nobina Finland,112,112,100.0
162,Pohjolan Liikenne,121,121,100.0
16,Nobina Finland,91,91,100.0
163K,Pohjolan Liikenne,61,61,100.0
165N,Pohjolan Liikenne,17,17,100.0
166,V-S Bussipalvelut,24,24,100.0
111,Koiviston Auto,107,107,100.0
200,Nobina Finland,174,174,100.0
20,Nobina Finland,149,149,100.0
182K,Pohjolan Liikenne,1,1,100.0
182A,Pohjolan Liikenne,9,9,100.0
173Z,Pohjolan Liikenne,22,22,100.0
214,Pohjolan Liikenne,52,52,100.0
202,Pohjolan Liikenne,69,69,100.0
214A,Pohjolan Liikenne,20,20,100.0
21N,Tammelundin Liikenne,18,18,100.0
215,Pohjolan Liikenne,66,66,100.0
224B,Pohjolan Liikenne,6,6,100.0
224,Pohjolan Liikenne,61,61,100.0
227,Pohjolan Liikenne,69,69,100.0
22B,Tammelundin Liikenne,72,72,100.0
23,Pohjolan Liikenne,122,122,100.0
201,Nurmijärven Linja,14,14,100.0
231N,Pohjolan Liikenne,16,16,100.0
235N,Pohjolan Liikenne,9,9,100.0
239,Pohjolan Liikenne,34,34,100.0
236,Pohjolan Liikenne,36,36,100.0
24,Nobina Finland,74,74,100.0
242,V-S Bussipalvelut,22,22,100.0
244,Nobina Finland,15,15,100.0
167,V-S Bussipalvelut,24,24,100.0
118,Nobina Finland,126,126,100.0
118N,Nobina Finland,18,18,100.0
124,Nobina Finland,118,118,100.0
102N,Koiviston Auto,19,19,100.0
113,Koiviston Auto,108,108,100.0
113N,Koiviston Auto,10,10,100.0
114,Koiviston Auto,116,116,100.0
112N,Nobina Finland,17,17,100.0
300,Nobina Finland,201,201,100.0
30,Nobina Finland,153,153,100.0
25,Nobina Finland,93,93,100.0
247B,Nobina Finland,2,2,100.0
247,Nobina Finland,18,18,100.0
246T,Nobina Finland,1,1,100.0
246K,Nobina Finland,17,17,100.0
246,Nobina Finland,9,9,100.0
245A,Nobina Finland,48,48,100.0
401X,Nobina Finland,179,179,100.0
415N,Pohjolan Liikenne,8,8,100.0
41,Nobina Finland,91,91,100.0
345N,Nobina Finland,2,2,100.0
311,Koiviston Auto,64,64,100.0
345,Nobina Finland,46,46,100.0
335B,Nobina Finland,63,63,100.0
434,Tammelundin Liikenne,100,100,100.0
433,Tammelundin Liikenne,28,28,100.0
431N,Nobina Finland,14,14,100.0
436N,Koiviston Auto,9,9,100.0
502,Nobina Finland,87,87,100.0
506,Pohjolan Liikenne,92,92,100.0
443,Tammelundin Liikenne,30,30,100.0
445,Tammelundin Liikenne,35,35,100.0
52,Nobina Finland,135,135,100.0
510,Nobina Finland,159,159,100.0
521,Pohjolan Liikenne,34,34,100.0
42,Nobina Finland,91,91,100.0
431,Koiviston Auto,37,37,100.0
36,Nurmijärven Linja,8,8,100.0
37,Nobina Finland,138,138,100.0
40,Nobina Finland,296,296,100.0
544,Nobina Finland,110,110,100.0
542,Pohjolan Liikenne,161,161,100.0
533,Nobina Finland,117,117,100.0
531,Pohjolan Liikenne,124,124,100.0
522,Pohjolan Liikenne,34,34,100.0
553,Koiviston Auto,95,95,100.0
548,Nobina Finland,118,118,100.0
