linja,operaattori,suunnitellut,ajettu,luotettavuus
719B,Bus Travel Reissu Ruoti,6,5,83.33
90,Koiviston Auto,158,137,86.71
531,Pohjolan Liikenne,161,140,86.96
96,Koiviston Auto,157,137,87.26
89,Nobina Finland,127,114,89.76
971,Korsisaari,22,20,90.91
713,Bus Travel Reissu Ruoti,12,11,91.67
788,Pohjolan Liikenne,13,12,92.31
243,Nobina Finland,27,25,92.59
718,Koiviston Auto,14,13,92.86
718A,Koiviston Auto,15,14,93.33
75,Pohjolan Liikenne,146,137,93.84
831,Pohjolan Liikenne,33,31,93.94
121A,Nobina Finland,35,33,94.29
544,Nobina Finland,124,117,94.35
446,Korsisaari,19,18,94.74
447,Korsisaari,19,18,94.74
165,Pohjolan Liikenne,99,94,94.95
70,Koiviston Auto,126,120,95.24
61,Pohjolan Liikenne,136,130,95.59
77,Pohjolan Liikenne,114,109,95.61
711,Koiviston Auto,92,88,95.65
600,Koiviston Auto,235,227,96.6
67,Pohjolan Liikenne,151,146,96.69
64,Pohjolan Liikenne,124,120,96.77
87,Nobina Finland,139,135,97.12
97,Koiviston Auto,72,70,97.22
80,Nobina Finland,146,142,97.26
63,Koiviston Auto,146,142,97.26
162,Pohjolan Liikenne,134,131,97.76
69,Koiviston Auto,136,133,97.79
97V,Koiviston Auto,92,90,97.83
55,Pohjolan Liikenne,147,144,97.96
98,Koiviston Auto,104,102,98.08
739,Koiviston Auto,54,53,98.15
445,Tammelundin Liikenne,55,54,98.18
85,Nobina Finland,114,112,98.25
83,Nobina Finland,60,59,98.33
105,Pohjolan Liikenne,122,120,98.36
548,Nobina Finland,126,124,98.41
572,Nobina Finland,63,62,98.41
401X,Nobina Finland,195,192,98.46
57,Nobina Finland,199,196,98.49
81,Nobina Finland,141,139,98.58
65,Pohjolan Liikenne,150,148,98.67
92,Koiviston Auto,152,150,98.68
66,Pohjolan Liikenne,152,150,98.68
570,Koiviston Auto,232,229,98.71
79,Nobina Finland,192,190,98.96
631,Koiviston Auto,100,99,99.0
25,Nobina Finland,104,103,99.04
717,Koiviston Auto,110,109,99.09
125,Nobina Finland,126,125,99.21
94,Koiviston Auto,154,153,99.35
23,Pohjolan Liikenne,157,156,99.36
30,Nobina Finland,173,172,99.42
52,Nobina Finland,194,193,99.48
510,Nobina Finland,215,214,99.53
400,Koiviston Auto,340,339,99.71
987B,Pohjolan Liikenne,1,1,100.0
987,Pohjolan Liikenne,3,3,100.0
986B,Pohjolan Liikenne,1,1,100.0
986,Pohjolan Liikenne,3,3,100.0
985,Pohjolan Liikenne,45,45,100.0
97N,Koiviston Auto,10,10,100.0
978K,Pohjolan Liikenne,32,32,100.0
978,Pohjolan Liikenne,39,39,100.0
977V,Pohjolan Liikenne,33,33,100.0
977,Pohjolan Liikenne,34,34,100.0
976,Pohjolan Liikenne,67,67,100.0
975N,Pohjolan Liikenne,3,3,100.0
975,Pohjolan Liikenne,63,63,100.0
973,Pohjolan Liikenne,72,72,100.0
124,Nobina Finland,126,126,100.0
121,Nobina Finland,30,30,100.0
119,V-S Bussipalvelut,6,6,100.0
118N,Nobina Finland,7,7,100.0
118,Nobina Finland,181,181,100.0
117,V-S Bussipalvelut,4,4,100.0
116,V-S Bussipalvelut,4,4,100.0
114N,Koiviston Auto,3,3,100.0
114,Koiviston Auto,135,135,100.0
113N,Koiviston Auto,4,4,100.0
113,Koiviston Auto,130,130,100.0
112N,Nobina Finland,11,11,100.0
111,Koiviston Auto,129,129,100.0
995,Pohjolan Liikenne,12,12,100.0
247B,Nobina Finland,2,2,100.0
247,Nobina Finland,30,30,100.0
246T,Nobina Finland,7,7,100.0
246KT,Nobina Finland,3,3,100.0
246K,Nobina Finland,11,11,100.0
246,Nobina Finland,26,26,100.0
245A,Nobina Finland,57,57,100.0
244,Nobina Finland,28,28,100.0
243V,Nobina Finland,5,5,100.0
242,V-S Bussipalvelut,9,9,100.0
241V,V-S Bussipalvelut,10,10,100.0
241,V-S Bussipalvelut,12,12,100.0
24,Nobina Finland,74,74,100.0
239V,Pohjolan Liikenne,10,10,100.0
349B,Nobina Finland,6,6,100.0
345N,Nobina Finland,1,1,100.0
345K,Nobina Finland,9,9,100.0
345,Nobina Finland,44,44,100.0
343,Korsisaari,4,4,100.0
34,Nurmijärven Linja,20,20,100.0
335,Nobina Finland,84,84,100.0
33,Nurmijärven Linja,33,33,100.0
321,Nobina Finland,45,45,100.0
32,Nurmijärven Linja,8,8,100.0
313,Korsisaari,6,6,100.0
311,Koiviston Auto,84,84,100.0
31,Nurmijärven Linja,8,8,100.0
300,Nobina Finland,209,209,100.0
26,V-S Bussipalvelut,133,133,100.0
434,Tammelundin Liikenne,143,143,100.0
433,Tammelundin Liikenne,46,46,100.0
431N,Nobina Finland,5,5,100.0
431B,Koiviston Auto,23,23,100.0
431,Koiviston Auto,66,66,100.0
42,Nobina Finland,101,101,100.0
415N,Pohjolan Liikenne,5,5,100.0
413,Korsisaari,6,6,100.0
41,Nobina Finland,102,102,100.0
40,Nobina Finland,290,290,100.0
37,Nobina Finland,178,178,100.0
36,Nurmijärven Linja,8,8,100.0
35,Nurmijärven Linja,10,10,100.0
349BK,Nobina Finland,14,14,100.0
239,Pohjolan Liikenne,52,52,100.0
237V,Pohjolan Liikenne,11,11,100.0
237,Pohjolan Liikenne,14,14,100.0
236,Pohjolan Liikenne,48,48,100.0
235N,Pohjolan Liikenne,5,5,100.0
232,V-S Bussipalvelut,4,4,100.0
231N,Pohjolan Liikenne,10,10,100.0
22K,Tammelundin Liikenne,7,7,100.0
22B,Tammelundin Liikenne,77,77,100.0
229,V-S Bussipalvelut,10,10,100.0
227N,Pohjolan Liikenne,6,6,100.0
227,Pohjolan Liikenne,71,71,100.0
224B,Pohjolan Liikenne,55,55,100.0
224,Pohjolan Liikenne,62,62,100.0
22,Tammelundin Liikenne,79,79,100.0
521,Pohjolan Liikenne,56,56,100.0
520,Pohjolan Liikenne,215,215,100.0
518,Koiviston Auto,12,12,100.0
506,Pohjolan Liikenne,127,127,100.0
502,Nobina Finland,140,140,100.0
500,Pohjolan Liikenne,213,213,100.0
444T,Korsisaari,7,7,100.0
444,Korsisaari,11,11,100.0
443K,Tammelundin Liikenne,10,10,100.0
443,Tammelundin Liikenne,41,41,100.0
436N,Koiviston Auto,3,3,100.0
56,Nobina Finland,192,192,100.0
554,Koiviston Auto,121,121,100.0
553,Koiviston Auto,116,116,100.0
549,Nobina Finland,128,128,100.0
542,Pohjolan Liikenne,184,184,100.0
54,Koiviston Auto,111,111,100.0
533,Nobina Finland,129,129,100.0
530,Pohjolan Liikenne,208,208,100.0
53,Nobina Finland,50,50,100.0
522B,Pohjolan Liikenne,10,10,100.0
522,Pohjolan Liikenne,70,70,100.0
521K,Pohjolan Liikenne,11,11,100.0
584T,Tammelundin Liikenne,1,1,100.0
584,Tammelundin Liikenne,76,76,100.0
583K,Tammelundin Liikenne,29,29,100.0
583,Tammelundin Liikenne,46,46,100.0
582V,Nobina Finland,12,12,100.0
582,Nobina Finland,54,54,100.0
576,Tammelundin Liikenne,56,56,100.0
574,Pohjolan Liikenne,88,88,100.0
571,Pohjolan Liikenne,94,94,100.0
566,Nobina Finland,55,55,100.0
562,Koiviston Auto,118,118,100.0
561,Koiviston Auto,110,110,100.0
560,Koiviston Auto,225,225,100.0
625,Korsisaari,38,38,100.0
624N,Koiviston Auto,4,4,100.0
624,Koiviston Auto,100,100,100.0
623,Koiviston Auto,63,63,100.0
61N,Pohjolan Liikenne,9,9,100.0
619,Koiviston Auto,96,96,100.0
617,Koiviston Auto,17,17,100.0
614K,Koiviston Auto,16,16,100.0
614,Koiviston Auto,16,16,100.0
611,Pohjolan Liikenne,128,128,100.0
59,Pohjolan Liikenne,214,214,100.0
587,Koiviston Auto,53,53,100.0
21N,Tammelundin Liikenne,10,10,100.0
215,Pohjolan Liikenne,86,86,100.0
214A,Pohjolan Liikenne,8,8,100.0
214,Pohjolan Liikenne,84,84,100.0
213N,Nobina Finland,9,9,100.0
213,Nobina Finland,63,63,100.0
