linja,operaattori,suunnitellut,ajettu,luotettavuus
63,Koiviston Auto,104,93,89.42
69,Koiviston Auto,90,88,97.78
105,Pohjolan Liikenne,65,65,100.0
124,Nobina Finland,70,70,100.0
159,Nobina Finland,60,60,100.0
166,V-S Bussipalvelut,20,20,100.0
133,Pohjolan Liikenne,27,27,100.0
158,Nobina Finland,71,71,100.0
23,Pohjolan Liikenne,114,114,100.0
242,V-S Bussipalvelut,22,22,100.0
243,Nobina Finland,16,16,100.0
244,Nobina Finland,14,14,100.0
245A,Nobina Finland,43,43,100.0
246,Nobina Finland,8,8,100.0
166K,V-S Bussipalvelut,4,4,100.0
167,V-S Bussipalvelut,24,24,100.0
247B,Nobina Finland,2,2,100.0
401X,Nobina Finland,175,175,100.0
433,Tammelundin Liikenne,24,24,100.0
434,Tammelundin Liikenne,98,98,100.0
443,Tammelundin Liikenne,28,28,100.0
445,Tammelundin Liikenne,35,35,100.0
500,Pohjolan Liikenne,129,129,100.0
502,Nobina Finland,69,69,100.0
506,Pohjolan Liikenne,89,89,100.0
52,Nobina Finland,133,133,100.0
520,Pohjolan Liikenne,151,151,100.0
530,Pohjolan Liikenne,143,143,100.0
531,Pohjolan Liikenne,74,74,100.0
533,Nobina Finland,71,71,100.0
246K,Nobina Finland,18,18,100.0
247,Nobina Finland,16,16,100.0
544,Nobina Finland,68,68,100.0
542,Pohjolan Liikenne,122,122,100.0
55,Pohjolan Liikenne,96,96,100.0
56,Nobina Finland,135,135,100.0
570N,Koiviston Auto,16,16,100.0
576,Tammelundin Liikenne,37,37,100.0
57,Nobina Finland,134,134,100.0
570,Koiviston Auto,138,138,100.0
583,Tammelundin Liikenne,34,34,100.0
582,Nobina Finland,23,23,100.0
584,Tammelundin Liikenne,35,35,100.0
59,Pohjolan Liikenne,126,126,100.0
614K,Koiviston Auto,31,31,100.0
600,Koiviston Auto,166,166,100.0
625,Korsisaari,20,20,100.0
623,Koiviston Auto,35,35,100.0
712,Koiviston Auto,22,22,100.0
80,Nobina Finland,96,96,100.0
81,Nobina Finland,118,118,100.0
82,Nobina Finland,85,85,100.0
82B,Nobina Finland,13,13,100.0
83,Nobina Finland,42,42,100.0
90,Koiviston Auto,97,97,100.0
92,Koiviston Auto,93,93,100.0
94,Koiviston Auto,93,93,100.0
94A,Koiviston Auto,114,114,100.0
95,Koiviston Auto,94,94,100.0
96,Koiviston Auto,96,96,100.0
97V,Koiviston Auto,95,95,100.0
98,Koiviston Auto,90,90,100.0
